QGC WPL 110
0	0	3	115	90.0	0	0	0	0	0	0	1
0	0	3	16	10	0	0	0	37.656819016636106	-121.88702910892115	61	1
0	0	3	16	10	0	0	0	37.656819016636106	-121.88660052676346	61	1
0	0	3	16	10	0	0	0	37.656819016636106	-121.88617194460575	61	1
0	0	3	16	10	0	0	0	37.656819016636106	-121.88574336244805	61	1
0	0	3	16	10	0	0	0	37.656080049908326	-121.88574336244805	61	1
0	0	3	16	10	0	0	0	37.656080049908326	-121.88617194460575	61	1
0	0	3	16	10	0	0	0	37.656080049908326	-121.88660052676346	61	1
0	0	3	16	10	0	0	0	37.656080049908326	-121.88702910892115	61	1
0	0	3	16	10	0	0	0	37.655341083180545	-121.88702910892115	61	1
0	0	3	16	10	0	0	0	37.655341083180545	-121.88660052676346	61	1
0	0	3	16	10	0	0	0	37.655341083180545	-121.88617194460575	61	1
0	0	3	16	10	0	0	0	37.655341083180545	-121.88574336244805	61	1
